Description	Count	contig
CDS	244	Ef-P16-208
connector	0	Ef-P16-208
DNA, RNA and nucleotide metabolism	27	Ef-P16-208
head and packaging	16	Ef-P16-208
integration and excision	0	Ef-P16-208
lysis	2	Ef-P16-208
moron, auxiliary metabolic gene and host takeover	5	Ef-P16-208
other	9	Ef-P16-208
tail	10	Ef-P16-208
transcription regulation	3	Ef-P16-208
unknown function	172	Ef-P16-208
tRNAs	6	Ef-P16-208
CRISPRs	0	Ef-P16-208
tmRNAs	0	Ef-P16-208
VFDB_Virulence_Factors	0	Ef-P16-208
CARD_AMR_Genes	0	Ef-P16-208
